unique_id,type,group1_id,group2_id,date,description,group1_name,group2_name
419,mer,231,77,1972-00-00,The Red Brigades (BR) absorbed the remaining membership of Partisan Action Groups (GAP) after GAP\'s founder and chief financier died planting an explosive.,Partisan Action Groups,Red Brigades
423,mer,227,228,1976-00-00,"The leaders of New Order, National Vanguard, and National Front fled abroad and then merged their groups into Black Order after being banned under an Italian law against reconstituting the fascist party.",National Front,National Vanguard
425,mer,229,257,1978-00-00,"The leaders of New Order, National Vanguard, and National Front fled abroad and then merged their groups into Black Order after being banned under an Italian law against reconstituting the fascist party.",New Order,Black Order
427,spl,229,228,1959-12-00,,New Order,National Vanguard
429,all,227,228,1968-00-00,"National Front, National Vanguard, and New Order collaborated on attacks, and members moved between groups.",National Front,National Vanguard
433,all,228,229,1968-00-00,"National Vanguard (AN), National Front (FN), and New Order (ON) coordinated on attacks, and members moved between groups. Though AN had originally split from ON, the groups continued to coordinate.",National Vanguard,New Order
435,mer,227,257,1976-00-00,"The leaders of New Order, National Vanguard, and National Front fled abroad and then merged their groups into Black Order after being banned under an Italian law against reconstituting the fascist party.",National Front,Black Order
437,mer,232,137,1979-00-00,"After most of its members were arrested, the remainder of Proletarians Armed for Communism merged into the PL.",Proletarians Armed for Communism,Prima Linea
439,aff,259,239,1979-00-00,"Third Position acted as a semi-legal political wing of NAR, in addition to staging some terrorist attacks.",Armed Revolutionary Nuclei,Third Position
441,riv,259,239,9/11/80,NAR members killed a TP leader in Rome.,Armed Revolutionary Nuclei,Third Position
443,mer,236,137,1981-07-00,"After Revolutionary Action declared its own dissolution in 1981, some of its members joined Prima Linea.",Revolutionary Action,Prima Linea
445,spl,153,77,1976-06-00,Some members of the FCA joined the Red Brigades.,Armed Communist Formations,Red Brigades
447,all,275,259,12/17/79,"Members of Let\'s Take Action (CA) and Armed Revolutionary Nuclei (NAR) staged a joint assassination attempt against a lawyer in retaliation for the imprisonment of another right-wing militant, accidentally killing a bystander instead.",Let's Take Action,Armed Revolutionary Nuclei
455,spl,137,295,1980-08-00,Nucleus of Communists split from Prima Linea at a conference in August 1980.,Prima Linea,Nucleus of Communists
457,spl,137,269,1981-04-00,Communists Organized for Proletarian Liberation (COLP) split from Prima Linea.,Prima Linea,Communists Organized for Proletarian Liberation
459,all,273,137,1978-00-00,Communist Combat Formations (FCC) and Prima Linea (PL) formed a joint national command.,Communist Combat Formations,Prima Linea
461,spl,287,273,1977-00-00,Members of the Communist Brigades (BC) formed the Communist Combat Formations (FCC). ,Communist Brigades,Communist Combat Formations
463,spl,273,226,1979-00-00,"As Communist Combat Formations (FCC) fell apart due to arrests in May 1979, some of its members joined with members of Red Guerrilla to form the March 28 Brigade.",Communist Combat Formations,March 28 Brigade
465,spl,273,291,1978-06-00,Members of Communist Combat Formations (FCC) split from the group to form the Communist Attack Divisions (FCA).,Communist Combat Formations,Communist Attack Divisions
469,spl,287,232,1979-00-00,Some members of Communist Brigades (BC) joined Proletarians Armed for Communism (PAC) and Prima Linea (PL). PAC merged into the PL in 1979.,Communist Brigades,Proletarians Armed for Communism
471,spl,153,279,1976-06-00,Some members of Armed Communist Formations (FCA) joined the Union of Communist Combatants (UCC).,Armed Communist Formations,Communist Combat Units
473,all,283,77,1979-00-00,"Red Barbagia (BarbRo) and the Red Brigades (BR) jointly planned, but did not succeed, in liberating left-wing prisoners on the Italian island of Sardinia, where BarbRo was based. The groups continued to coordinate afterward; BarbRo guarded an arms\' cache on the BR\'s behalf, for example.",Red Barbagia,Red Brigades
475,mer,247,77,1978-00-00,The Red Brigades (BR) absorbed the remaining assets of Armed Proletarian Nuclei (NAP) after NAP dissolved due to arrests in 1978.,Armed Proletarian Nuclei,Red Brigades
477,spl,77,137,1976-00-00,Dissident members of the Red Brigades (BR) helped found Prima Linea (PL).,Red Brigades,Prima Linea
479,all,237,257,1973-00-00,Black Order is believed to have worked closely with Revolutionary Action Movement (MAR).,Revolutionary Action Movement,Black Order
481,all,137,269,1/3/82,Militants belonging to Communists Organized for Proletarian Liberation (COLP) and Nucleus of Communists (NdC) helped four members of Prima Linea (PL) escape from prison in Rovigo in Northern Italy.,Prima Linea,Communists Organized for Proletarian Liberation
483,all,269,295,1/3/82,Militants belonging to Communists Organized for Proletarian Liberation (COLP) and Nucleus of Communists (NdC) helped four members of Prima Linea (PL) escape from prison in Rovigo in Northern Italy.,Communists Organized for Proletarian Liberation,Nucleus of Communists
485,riv,105,95,2010-00-00,TTP has a rivalry with JeM owing to its closeness with the ISI.,Tehrik-i-Taliban Pakistan,Jaish-e-Mohammad
491,riv,317,315,1977-00-00,"The Official Irish Republican Army (OIRA) sought to suppress the Irish National Liberation Army (INLA) as soon as it broke away from the main group. In 1977, OIRA killed INLA Chief of Staff Seamus Costello.",Official Irish Republican Army,Irish National Liberation Army
493,spl,315,313,1986-00-00,The Irish People\'s Liberation Organization (IPLO) split from the Irish National Liberation Army (INLA) as INLA became increasingly factionalized after the assassination of one of its leaders.,Irish National Liberation Army,Irish People's Liberation Organization
497,riv,323,313,10/31/92,"The Provisional Irish Republican Army (PIRA) assassinated a leader and several other members of the Irish People\'s Liberation Organization (IPLO) to halt feuding between IPLO and the Irish National Liberation Army (INLA), and force the IPLO to stand down.",Provisional Irish Republican Army,Irish People's Liberation Organization
517,spl,349,323,1969-00-00,"The Provisional Irish Republican Army (PIRA) split from from the old IRA, with the former accusing the Dublin-based IRA leadership of losing sight of military priorities to pursue a failing political strategy and of failing to protect Catholics in the North from sectarian violence.",Irish Republican Army,Provisional Irish Republican Army
499,spl,323,319,1997-00-00,The Real Irish Republican Army (RIRA) split from the Provisional Irish Republican Army (PIRA) in protest over the PIRA\'s ceasefires and its participation in the peace process.,Provisional Irish Republican Army,Real Irish Republican Army
501,spl,323,325,1986-00-00,"The Continuity Irish Republican Army (CIRA) split from the Provisional Irish Republican Army (PIRA) after the PIRA\'s political wing dropped its longstanding opposition to its members\' participation in Irish Parliament (Dáil Éireann), which CIRA continued to view as illegitimate.  The CIRA did not become militarily active until the PIRA ceasefire of 1994.",Provisional Irish Republican Army,Continuity Irish Republican Army
503,spl,325,327,2005-00-00,Óglaigh na hÉireann (ONH) split from the Continuity Irish Republican Army (CIRA).,Continuity Irish Republican Army,Óglaigh na hÉireann 1
507,spl,323,319,1997-00-00,The Real Irish Republican Army (RIRA) split from the Provisional Irish Republican Army (PIRA) in protest over PIRA\'s participation in the peace process.,Provisional Irish Republican Army,Real Irish Republican Army
509,spl,317,315,1974-00-00,The Irish National Liberation Army (INLA) split from the Official Irish Republican Army (OIRA) in protest over ceasefires OIRA had declared.,Official Irish Republican Army,Irish National Liberation Army
511,riv,317,315,1977-00-00,"The Official Irish Republican Army (OIRA) sought to suppress the Irish National Liberation Army (INLA) after it broke away, ultimately assassinating one of INLA\'s leaders in 1977.",Official Irish Republican Army,Irish National Liberation Army
515,spl,349,317,1969-00-00,"When the Provisional Irish Republican Army (PIRA) split from the IRA, the remainder of the IRA became known as the Official Irish Republican Army (OIRA).",Irish Republican Army,Official Irish Republican Army
519,riv,317,323,1970-00-00,"The Official Irish Republican Army (OIRA) and the Provisional Irish Republican Army (PIRA) each claimed to be the legitimate representatives of the nationalist cause, and attacked one another\'s members. The worst such violence took place over two weeks in October 1975, leaving 11 dead.",Official Irish Republican Army,Provisional Irish Republican Army
523,mer,333,331,1976-00-00,The Protestant Task Force (PTF) is believed to have merged into the Ulster Volunteer Force (UVF) in the late 1970s.,Protestant Task Force,Ulster Volunteer Force
525,all,331,337,1972-00-00,"The Ulster Volunteer Force (UVF) and Red Hand Commando (RHC) collaborated on weapons and operations but maintained separate command structures. The two groups moved together on major political issues, jointly declaring ceasefires, signing the same peace documents, and ultimately decommissioning their weapons in 2009.",Ulster Volunteer Force,Red Hand Commando
527,spl,331,335,1996-00-00,The Ulster Volunteer Force (UVF) leadership expelled members of the mid-Ulster brigade of the UVF after the latter killed two Catholic civilians in violation of the UVF ceasefire. The mid-Ulster brigade members went on to form the Loyalist Volunteer Force (LVF).,Ulster Volunteer Force,Loyalist Volunteer Force
529,mer,341,345,1971-00-00,Shankill Defense Association (SDA) merged into the Ulster Defense Association (UDA).,Shankill Defense Association,Ulster Defence Association
531,spl,345,343,1973-00-00,The Ulster Citizen Army (UCA) split from the Ulster Defense Association (UDA) over the UDA\'s right-wing politics.,Ulster Defence Association,Ulster Citizen Army
533,aff,345,347,1998-00-00,There is speculation that the Red Hand Defenders was a cover name for members of the Ulster Defense Association. ,Ulster Defence Association,Red Hand Defenders
535,riv,313,315,1987-00-00,The Irish People\'s Liberation Organization (IPLO) tried to destroy the Irish National Liberation Army (INLA) and replace it as the dominant socialist paramilitary group seeking a united and independent Ireland.,Irish People's Liberation Organization,Irish National Liberation Army
537,mer,313,315,10/31/92,Some Irish People\'s Liberation Organization (IPLO) members rejoined the Irish National Liberation Army (INLA) after the Provisional IRA (PIRA) forcibly dissolved the group.,Irish People's Liberation Organization,Irish National Liberation Army
539,riv,331,335,8/2/96,"As a result of the LFV breaking the 1996 ceasefire agreement, fighting between the two groups broke out.",Ulster Volunteer Force,Loyalist Volunteer Force
541,riv,335,345,2002-09-00,The feud between the two groups began with the death of Stephen Warnock (LVF). Retaliatory attacks followed the infinally ended in 2002 when the LVF accepted that the UDA did not kill Warnock.,Loyalist Volunteer Force,Ulster Defence Association
817,spl,431,73,1994-07-00,The Movement for an Islamic State (MEI) merged with other small groups to form the Islamic Salvation Army. ,Movement for an Islamic State ,Islamic Salvation Army
545,riv,1,5,11/6/07,"In November 2007, 18 al-Qaeda militants and 15 Islamic Army in Iraq fighters were killed when the IAI attacked a AQI compound north of Baghdad.",The Islamic State,Islamic Army in Iraq
1379,all,13,75,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups.",Ansar al-Islam,Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) 
1381,all,5,75,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups.",Islamic Army in Iraq,Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) 
1383,all,29,75,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups.",Hamas Iraq,Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) 
1385,all,75,1,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups.",Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,The Islamic State
